"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed"
"mariposa",2014,57679389,18467,3123,130,NA
"mariposa",2014,57679389,18467,3123,4689,NA
"mariposa",2014,57679389,18467,3123,79,NA
"mariposa",2014,57679389,18467,3123,311,NA
"mariposa",2014,57679389,18467,3123,300,NA
"mariposa",2014,57679389,18467,3123,677,3
"mariposa",2015,60063662,17791,3376,25,NA
"mariposa",2015,60063662,17791,3376,60,NA
"mariposa",2015,60063662,17791,3376,415,NA
"mariposa",2017,71395521,18148,3934,125,NA
"mariposa",2017,71395521,18148,3934,7000,NA
"mariposa",2017,71395521,18148,3934,225,0
"mariposa",2017,71395521,18148,3934,81826,131
"mariposa",2017,71395521,18148,3934,8094,NA
"mariposa",2017,71395521,18148,3934,10,NA
"mariposa",2017,71395521,18148,3934,63,NA
"mariposa",2017,71395521,18148,3934,36,NA
"mariposa",2017,71395521,18148,3934,0,NA
"mariposa",2017,71395521,18148,3934,17,NA
"mariposa",2017,71395521,18148,3934,630,NA
"mariposa",2017,71395521,18148,3934,680,2
"mariposa",2018,77874291,18129,4296,40,NA
"mariposa",2018,77874291,18129,4296,115,NA
"mariposa",2018,77874291,18129,4296,22,7
"mariposa",2018,77874291,18129,4296,96901,NA
"mariposa",2018,77874291,18129,4296,53,1
"mariposa",2019,82902148,18068,4588,149,NA
"mariposa",2019,82902148,18068,4588,1300,NA
"mariposa",2019,82902148,18068,4588,244,NA
"mariposa",2019,82902148,18068,4588,5563,1
"mariposa",2019,82902148,18068,4588,423,NA
"mendocino",2013,183588351,88291,2079,82,NA
"mendocino",2013,183588351,88291,2079,45,NA
"mendocino",2013,183588351,88291,2079,15,NA
"mendocino",2013,183588351,88291,2079,98,NA
"mendocino",2014,186975941,89029,2100,12536,NA
"mendocino",2014,186975941,89029,2100,62,NA
"mendocino",2014,186975941,89029,2100,403,11
"mendocino",2015,198654917,88863,2236,227,NA
"mendocino",2015,198654917,88863,2236,35,NA
"mendocino",2015,198654917,88863,2236,23,NA
"mendocino",2015,198654917,88863,2236,50,NA
"mendocino",2016,206272668,88378,2334,36,NA
"mendocino",2016,206272668,88378,2334,50,NA
"mendocino",2017,235560312,89134,2643,20,NA
"mendocino",2017,235560312,89134,2643,36523,546
"mendocino",2017,235560312,89134,2643,146,NA
"mendocino",2017,235560312,89134,2643,900,NA
"mendocino",2018,245693086,89299,2751,972,NA
"mendocino",2018,245693086,89299,2751,48920,35
"mendocino",2018,245693086,89299,2751,106,NA
"mendocino",2018,245693086,89299,2751,90,NA
"mendocino",2018,245693086,89299,2751,67,NA
"mendocino",2018,245693086,89299,2751,410203,246
"mendocino",2018,245693086,89299,2751,35,NA
"mendocino",2019,277498649,89009,3118,130,NA
"mendocino",2019,277498649,89009,3118,10,NA
"mendocino",2019,277498649,89009,3118,703,NA
"mendocino",2019,277498649,89009,3118,225,NA
"merced",2013,364448085,262478,1388,124,NA
"merced",2014,405719802,264922,1531,300,NA
"merced",2015,413448831,266134,1554,1450,NA
"merced",2015,413448831,266134,1554,1333,NA
"merced",2015,413448831,266134,1554,275,NA
"merced",2016,439271510,271579,1617,30,NA
"merced",2016,439271510,271579,1617,1246,NA
"merced",2017,520964183,274665,1897,1800,NA
"merced",2018,552168265,279977,1972,200,NA
"merced",2018,552168265,279977,1972,4564,NA
"merced",2018,552168265,279977,1972,68,NA
"merced",2018,552168265,279977,1972,88,NA
"merced",2018,552168265,279977,1972,185,NA
"merced",2018,552168265,279977,1972,1756,NA
"merced",2019,593333567,282928,2097,210,NA
"modoc",2013,28451670,9522,2988,97,NA
"modoc",2013,28451670,9522,2988,68,NA
"modoc",2013,28451670,9522,2988,502,NA
"modoc",2014,26943389,9197,2930,13153,6
"modoc",2014,26943389,9197,2930,1469,NA
"modoc",2014,26943389,9197,2930,101,NA
"modoc",2014,26943389,9197,2930,1651,NA
"modoc",2015,30609001,9399,3257,77,NA
"modoc",2015,30609001,9399,3257,4863,NA
"modoc",2015,30609001,9399,3257,43,NA
"modoc",2015,30609001,9399,3257,116,NA
"modoc",2016,31283043,9638,3246,380,NA
"modoc",2016,31283043,9638,3246,2652,NA
"modoc",2017,30863325,9580,3222,15,NA
"modoc",2017,30863325,9580,3222,28,NA
"modoc",2017,30863325,9580,3222,83120,NA
"modoc",2017,30863325,9580,3222,7697,NA
"modoc",2017,30863325,9580,3222,42,NA
"modoc",2017,30863325,9580,3222,27,NA
"modoc",2017,30863325,9580,3222,562,NA
"modoc",2017,30863325,9580,3222,0,NA
"modoc",2017,30863325,9580,3222,410,NA
"modoc",2017,30863325,9580,3222,380,NA
"modoc",2018,31249727,9612,3251,39387,NA
"modoc",2018,31249727,9612,3251,15,NA
"modoc",2018,31249727,9612,3251,2100,NA
"modoc",2018,31249727,9612,3251,52,NA
"modoc",2019,34779955,9602,3622,5737,NA
"modoc",2019,34779955,9602,3622,103,NA
"modoc",2019,34779955,9602,3622,128,NA
"modoc",2019,34779955,9602,3622,14217,NA
"mono",2015,52282402,14695,3558,3676,NA
"mono",2015,52282402,14695,3558,509,NA
"mono",2015,52282402,14695,3558,7000,40
"mono",2016,59722817,13721,4353,650,NA
"mono",2016,59722817,13721,4353,2819,NA
"mono",2016,59722817,13721,4353,122,NA
"mono",2017,58065258,13713,4234,370,NA
"mono",2017,58065258,13713,4234,8925,NA
"mono",2018,64774317,13822,4686,6974,NA
"mono",2019,65803733,13616,4833,4840,NA
"monterey",2013,802605729,421494,1904,917,NA
"monterey",2013,802605729,421494,1904,105,NA
"monterey",2013,802605729,421494,1904,213,NA
"monterey",2014,816486584,425756,1918,4840,NA
"monterey",2014,816486584,425756,1918,75,NA
"monterey",2014,816486584,425756,1918,400,NA
"monterey",2015,889396769,425413,2091,1086,20
"monterey",2015,889396769,425413,2091,95,NA
"monterey",2016,1015238741,437178,2322,70,NA
"monterey",2016,1015238741,437178,2322,52,NA
"monterey",2016,1015238741,437178,2322,132127,NA
"monterey",2016,1015238741,437178,2322,25,NA
"monterey",2016,1015238741,437178,2322,2520,NA
"monterey",2016,1015238741,437178,2322,100,NA
"monterey",2016,1015238741,437178,2322,3876,NA
"monterey",2017,1085600914,442365,2454,20,NA
"monterey",2017,1085600914,442365,2454,18,NA
"monterey",2017,1085600914,442365,2454,10,NA
"monterey",2017,1085600914,442365,2454,31,NA
"monterey",2017,1085600914,442365,2454,32,NA
"monterey",2017,1085600914,442365,2454,1816,NA
"monterey",2017,1085600914,442365,2454,42,NA
"monterey",2017,1085600914,442365,2454,82,NA
"monterey",2017,1085600914,442365,2454,17,NA
"monterey",2017,1085600914,442365,2454,15,NA
"monterey",2017,1085600914,442365,2454,43,NA
"monterey",2017,1085600914,442365,2454,32,NA
"monterey",2017,1085600914,442365,2454,40,NA
"monterey",2017,1085600914,442365,2454,14,NA
"monterey",2018,1251119128,443281,2822,96,NA
"monterey",2018,1251119128,443281,2822,650,NA
"monterey",2018,1251119128,443281,2822,400,NA
"monterey",2018,1251119128,443281,2822,150,NA
"monterey",2018,1251119128,443281,2822,2225,NA
"monterey",2018,1251119128,443281,2822,10,NA
"monterey",2018,1251119128,443281,2822,50,NA
"monterey",2018,1251119128,443281,2822,167,NA
"monterey",2018,1251119128,443281,2822,375,NA
"monterey",2019,1334500225,445414,2996,289,NA
"monterey",2019,1334500225,445414,2996,316,NA
"monterey",2019,1334500225,445414,2996,190,NA
"monterey",2019,1334500225,445414,2996,43,NA
"monterey",2019,1334500225,445414,2996,2546,NA
"monterey",2019,1334500225,445414,2996,280,NA
"monterey",2019,1334500225,445414,2996,66,NA
"napa",2013,280823358,138383,2029,190,1
"napa",2013,280823358,138383,2029,75,NA
"napa",2013,280823358,138383,2029,376,NA
"napa",2014,307365157,139255,2207,27,NA
"napa",2014,307365157,139255,2207,6,NA
"napa",2014,307365157,139255,2207,4300,9
"napa",2015,323583057,140362,2305,19,NA
"napa",2015,323583057,140362,2305,36,NA
"napa",2015,323583057,140362,2305,25118,27
"napa",2015,323583057,140362,2305,38,NA
"napa",2016,330137626,142028,2324,65,NA
"napa",2017,370217770,142408,2600,56556,1355
"napa",2017,370217770,142408,2600,51624,120
"napa",2017,370217770,142408,2600,114,NA
"napa",2017,370217770,142408,2600,36807,5636
"napa",2017,370217770,142408,2600,0,NA
"napa",2017,370217770,142408,2600,22,NA
"napa",2018,410620823,141294,2906,2490,NA
"napa",2018,410620823,141294,2906,12,NA
"napa",2018,410620823,141294,2906,90288,29
"napa",2018,410620823,141294,2906,10,NA
"napa",2018,410620823,141294,2906,135,8
"napa",2019,441388573,140779,3135,64,NA
"napa",2019,441388573,140779,3135,526,1
"napa",2019,441388573,140779,3135,50,NA
"nevada",2013,137555506,97019,1418,52,NA
"nevada",2014,141331655,97225,1454,84,NA
"nevada",2014,141331655,97225,1454,38,NA
"nevada",2014,141331655,97225,1454,247,NA
"nevada",2015,142883250,98193,1455,2304,2
"nevada",2015,142883250,98193,1455,30,NA
"nevada",2016,147735751,98095,1506,47,NA
"nevada",2016,147735751,98095,1506,38,NA
"nevada",2017,163862949,98828,1658,76,13
"nevada",2017,163862949,98828,1658,15,NA
"nevada",2017,163862949,98828,1658,10,NA
"nevada",2017,163862949,98828,1658,10,NA
"nevada",2017,163862949,98828,1658,392,0
"nevada",2017,163862949,98828,1658,19,NA
"nevada",2017,163862949,98828,1658,821,48
"nevada",2018,184038554,99155,1856,16,NA
"nevada",2019,198442113,98904,2006,2,NA
"orange",2013,3524255671,3081804,1144,40,NA
"orange",2014,3647101056,3113991,1171,968,NA
"orange",2015,3724987048,3147655,1183,214,NA
"orange",2016,3793514681,3183011,1192,47,NA
"orange",2016,3793514681,3183011,1192,150,NA
"orange",2017,4412670251,3194024,1382,9217,25
"orange",2017,4412670251,3194024,1382,2662,NA
"orange",2018,4584568142,3221103,1423,155,NA
"orange",2018,4584568142,3221103,1423,23136,24
"orange",2018,4584568142,3221103,1423,175,NA
"placer",2013,496785824,357463,1390,27440,NA
"placer",2013,496785824,357463,1390,237,NA
"placer",2014,561033320,366115,1532,459,10
"placer",2014,561033320,366115,1532,14,NA
"placer",2014,561033320,366115,1532,120,NA
"placer",2015,547404953,369454,1482,26,NA
"placer",2015,547404953,369454,1482,110,NA
"placer",2016,562674677,373796,1505,5646,NA
"placer",2016,562674677,373796,1505,88,NA
"placer",2016,562674677,373796,1505,169,NA
"placer",2018,706198572,389532,1813,1120,NA
"placer",2018,706198572,389532,1813,700,NA
"placer",2019,762996372,396691,1923,355,NA
"placer",2019,762996372,396691,1923,604,NA
"placer",2019,762996372,396691,1923,65,NA
"placer",2019,762996372,396691,1923,27,NA
"placer",2019,762996372,396691,1923,148,NA
"plumas",2013,50944994,19643,2594,513,NA
"plumas",2015,53440915,19560,2732,137,NA
"plumas",2016,57739496,19879,2905,248,NA
"plumas",2017,56460600,19819,2849,79,NA
"plumas",2017,56460600,19819,2849,2575,NA
"plumas",2017,56460600,19819,2849,186,NA
"plumas",2017,56460600,19819,2849,1020,NA
"plumas",2017,56460600,19819,2849,4310,NA
"plumas",2018,64867700,19773,3281,117,NA
"plumas",2018,64867700,19773,3281,20,NA
"plumas",2019,64464586,19779,3259,54612,NA
"riverside",2013,3158800159,2255059,1401,0,NA
"riverside",2013,3158800159,2255059,1401,124,NA
"riverside",2013,3158800159,2255059,1401,40,NA
"riverside",2013,3158800159,2255059,1401,25,NA
"riverside",2013,3158800159,2255059,1401,510,NA
"riverside",2013,3158800159,2255059,1401,40,NA
"riverside",2013,3158800159,2255059,1401,15,NA
"riverside",2013,3158800159,2255059,1401,42,NA
"riverside",2013,3158800159,2255059,1401,60,NA
"riverside",2013,3158800159,2255059,1401,20292,40
"riverside",2013,3158800159,2255059,1401,27531,NA
"riverside",2013,3158800159,2255059,1401,40,NA
"riverside",2013,3158800159,2255059,1401,40,NA
"riverside",2013,3158800159,2255059,1401,311,NA
"riverside",2013,3158800159,2255059,1401,1383,NA
"riverside",2013,3158800159,2255059,1401,90,NA
"riverside",2013,3158800159,2255059,1401,150,NA
"riverside",2013,3158800159,2255059,1401,60,NA
"riverside",2013,3158800159,2255059,1401,3166,1
"riverside",2014,3284411738,2279967,1441,14,NA
"riverside",2014,3284411738,2279967,1441,78,NA
"riverside",2014,3284411738,2279967,1441,100,NA
"riverside",2014,3284411738,2279967,1441,57,NA
"riverside",2014,3284411738,2279967,1441,350,NA
"riverside",2014,3284411738,2279967,1441,31,NA
"riverside",2015,3686292169,2308441,1597,150,NA
"riverside",2015,3686292169,2308441,1597,1049,NA
"riverside",2015,3686292169,2308441,1597,21,NA
"riverside",2015,3686292169,2308441,1597,543,NA
"riverside",2015,3686292169,2308441,1597,25,NA
"riverside",2015,3686292169,2308441,1597,80,NA
"riverside",2015,3686292169,2308441,1597,60,NA
"riverside",2016,3858788311,2347828,1644,139,NA
"riverside",2016,3858788311,2347828,1644,1470,1
"riverside",2016,3858788311,2347828,1644,40,NA
"riverside",2016,3858788311,2347828,1644,173,NA
"riverside",2017,4343263894,2384783,1821,14,NA
"riverside",2017,4343263894,2384783,1821,40,NA
"riverside",2017,4343263894,2384783,1821,1350,NA
"riverside",2017,4343263894,2384783,1821,10,NA
"riverside",2017,4343263894,2384783,1821,122,NA
"riverside",2017,4343263894,2384783,1821,27,NA
"riverside",2017,4343263894,2384783,1821,17,NA
"riverside",2017,4343263894,2384783,1821,33,NA
"riverside",2017,4343263894,2384783,1821,105,NA
"riverside",2017,4343263894,2384783,1821,19,NA
"riverside",2017,4343263894,2384783,1821,63,NA
"riverside",2017,4343263894,2384783,1821,205,NA
"riverside",2017,4343263894,2384783,1821,50,NA
"riverside",2017,4343263894,2384783,1821,33,NA
"riverside",2017,4343263894,2384783,1821,15,NA
"riverside",2017,4343263894,2384783,1821,40,NA
"riverside",2017,4343263894,2384783,1821,168,NA
"riverside",2017,4343263894,2384783,1821,866,NA
"riverside",2017,4343263894,2384783,1821,46,NA
"riverside",2017,4343263894,2384783,1821,1044,NA
"riverside",2017,4343263894,2384783,1821,20,NA
"riverside",2017,4343263894,2384783,1821,10,NA
"riverside",2017,4343263894,2384783,1821,10,NA
"riverside",2017,4343263894,2384783,1821,19,NA
"riverside",2017,4343263894,2384783,1821,48,NA
"riverside",2017,4343263894,2384783,1821,30,NA
"riverside",2017,4343263894,2384783,1821,11,NA
"riverside",2017,4343263894,2384783,1821,300,NA
"riverside",2017,4343263894,2384783,1821,26,NA
"riverside",2017,4343263894,2384783,1821,72,NA
"riverside",2017,4343263894,2384783,1821,12,NA
"riverside",2017,4343263894,2384783,1821,26,NA
"riverside",2017,4343263894,2384783,1821,10,NA
"riverside",2017,4343263894,2384783,1821,28,NA
"riverside",2017,4343263894,2384783,1821,34,NA
"riverside",2017,4343263894,2384783,1821,153,NA
"riverside",2017,4343263894,2384783,1821,50,NA
"riverside",2017,4343263894,2384783,1821,35,NA
"riverside",2017,4343263894,2384783,1821,45,NA
"riverside",2017,4343263894,2384783,1821,10,NA
"riverside",2017,4343263894,2384783,1821,32,NA
"riverside",2017,4343263894,2384783,1821,3874,NA
"riverside",2017,4343263894,2384783,1821,85,NA
"riverside",2017,4343263894,2384783,1821,6309,NA
"riverside",2017,4343263894,2384783,1821,35,NA
"riverside",2017,4343263894,2384783,1821,23,NA
"riverside",2017,4343263894,2384783,1821,10,NA
"riverside",2017,4343263894,2384783,1821,92,NA
"riverside",2017,4343263894,2384783,1821,120,NA
"riverside",2017,4343263894,2384783,1821,200,NA
"riverside",2017,4343263894,2384783,1821,545,NA
"riverside",2017,4343263894,2384783,1821,35,NA
"riverside",2018,4422407003,2415955,1831,40,NA
"riverside",2018,4422407003,2415955,1831,18,NA
"riverside",2018,4422407003,2415955,1831,13139,12
"riverside",2018,4422407003,2415955,1831,1261,NA
"riverside",2018,4422407003,2415955,1831,73,NA
"riverside",2018,4422407003,2415955,1831,20,NA
"riverside",2018,4422407003,2415955,1831,35,NA
"riverside",2018,4422407003,2415955,1831,30,NA
"riverside",2018,4422407003,2415955,1831,10,NA
"riverside",2018,4422407003,2415955,1831,154,NA
"riverside",2018,4422407003,2415955,1831,70,NA
"riverside",2018,4422407003,2415955,1831,282,NA
"riverside",2018,4422407003,2415955,1831,25,NA
"riverside",2018,4422407003,2415955,1831,32,NA
"riverside",2018,4422407003,2415955,1831,10,NA
"riverside",2018,4422407003,2415955,1831,36,NA
"riverside",2018,4422407003,2415955,1831,23,NA
"riverside",2018,4422407003,2415955,1831,63,NA
"riverside",2018,4422407003,2415955,1831,15,NA
"riverside",2018,4422407003,2415955,1831,205,NA
"riverside",2018,4422407003,2415955,1831,15,NA
"riverside",2018,4422407003,2415955,1831,21,NA
"riverside",2018,4422407003,2415955,1831,10,NA
"riverside",2018,4422407003,2415955,1831,11,NA
"riverside",2018,4422407003,2415955,1831,17,NA
"riverside",2019,4804417426,2440124,1969,19,NA
"riverside",2019,4804417426,2440124,1969,19,NA
"riverside",2019,4804417426,2440124,1969,1011,74
"riverside",2019,4804417426,2440124,1969,494,NA
"riverside",2019,4804417426,2440124,1969,328,NA
"riverside",2019,4804417426,2440124,1969,34,NA
"riverside",2019,4804417426,2440124,1969,NA,NA
"riverside",2019,4804417426,2440124,1969,10,NA
"riverside",2019,4804417426,2440124,1969,12,NA
"riverside",2019,4804417426,2440124,1969,81,NA
"riverside",2019,4804417426,2440124,1969,45,NA
"riverside",2019,4804417426,2440124,1969,167,NA
"riverside",2019,4804417426,2440124,1969,214,NA
"riverside",2019,4804417426,2440124,1969,20,NA
"riverside",2019,4804417426,2440124,1969,34,NA
"riverside",2019,4804417426,2440124,1969,20,NA
"riverside",2019,4804417426,2440124,1969,55,NA
"riverside",2019,4804417426,2440124,1969,75,NA
"riverside",2019,4804417426,2440124,1969,350,1
"riverside",2019,4804417426,2440124,1969,80,NA
"riverside",2019,4804417426,2440124,1969,26,NA
"riverside",2019,4804417426,2440124,1969,80,NA
"riverside",2019,4804417426,2440124,1969,1926,0
"riverside",2019,4804417426,2440124,1969,20,NA
"riverside",2019,4804417426,2440124,1969,250,NA
"riverside",2019,4804417426,2440124,1969,30,NA
"riverside",2019,4804417426,2440124,1969,520,NA
"riverside",2019,4804417426,2440124,1969,130,NA
"riverside",2019,4804417426,2440124,1969,98,NA
"riverside",2019,4804417426,2440124,1969,96,NA
"riverside",2019,4804417426,2440124,1969,525,NA
"riverside",2019,4804417426,2440124,1969,94,NA
"riverside",2019,4804417426,2440124,1969,9,NA
"sacramento",2013,2541160948,1445806,1758,163,NA
"sacramento",2015,2627507359,1470912,1786,110,NA
"sacramento",2016,2851784075,1495297,1907,32,NA
"sacramento",2016,2851784075,1495297,1907,87,NA
"sacramento",2016,2851784075,1495297,1907,40,NA
"sacramento",2017,3355290000,1514770,2215,35,NA
"sacramento",2017,3355290000,1514770,2215,68,NA
"sacramento",2017,3355290000,1514770,2215,1286,NA
"sacramento",2018,3481911000,1529501,2277,30,NA
"sacramento",2019,3558483000,1546174,2301,50,NA
"sacramento",2019,3558483000,1546174,2301,84,NA
"san benito",2013,66238193,56669,1169,354,NA
"san benito",2015,73258769,58344,1256,670,NA
"san benito",2015,73258769,58344,1256,25,NA
"san benito",2016,78131810,56648,1379,30,NA
"san benito",2016,78131810,56648,1379,237,2
"san benito",2016,78131810,56648,1379,95,NA
"san benito",2016,78131810,56648,1379,83,NA
"san benito",2017,79747356,56854,1403,21,NA
"san benito",2017,79747356,56854,1403,34,NA
"san benito",2017,79747356,56854,1403,47,NA
"san benito",2018,95824947,57088,1679,1314,NA
"san benito",2018,95824947,57088,1679,278,NA
"san benito",2018,95824947,57088,1679,39,NA
"san benito",2018,95824947,57088,1679,215,NA
"san benito",2018,95824947,57088,1679,64,NA
"san benito",2018,95824947,57088,1679,513,NA
"san benito",2018,95824947,57088,1679,116,NA
"san benito",2018,95824947,57088,1679,35,NA
"san benito",2019,106119007,62296,1703,17,NA
"san benito",2019,106119007,62296,1703,167,NA
"san bernardino",2013,3300520586,2076274,1590,30,NA
"san bernardino",2013,3300520586,2076274,1590,73,NA
"san bernardino",2013,3300520586,2076274,1590,75,NA
"san bernardino",2013,3300520586,2076274,1590,534,0
"san bernardino",2013,3300520586,2076274,1590,110,NA
"san bernardino",2013,3300520586,2076274,1590,200,NA
"san bernardino",2013,3300520586,2076274,1590,243,NA
"san bernardino",2013,3300520586,2076274,1590,97,NA
"san bernardino",2013,3300520586,2076274,1590,75,1
"san bernardino",2013,3300520586,2076274,1590,413,NA
"san bernardino",2014,3517791026,2085669,1687,2143,0
"san bernardino",2014,3517791026,2085669,1687,48,NA
"san bernardino",2015,3639592464,2104291,1730,55,NA
"san bernardino",2015,3639592464,2104291,1730,100,NA
"san bernardino",2015,3639592464,2104291,1730,4250,68
"san bernardino",2015,3639592464,2104291,1730,54,NA
"san bernardino",2015,3639592464,2104291,1730,65,NA
"san bernardino",2015,3639592464,2104291,1730,31359,NA
"san bernardino",2016,3639228514,2139570,1701,20,NA
"san bernardino",2016,3639228514,2139570,1701,50,NA
"san bernardino",2016,3639228514,2139570,1701,36274,321
"san bernardino",2016,3639228514,2139570,1701,8110,NA
"san bernardino",2017,4141319948,2160256,1917,16,NA
"san bernardino",2017,4141319948,2160256,1917,74,NA
"san bernardino",2017,4141319948,2160256,1917,170,NA
"san bernardino",2017,4141319948,2160256,1917,46,NA
"san bernardino",2017,4141319948,2160256,1917,1503,NA
"san bernardino",2017,4141319948,2160256,1917,670,NA
"san bernardino",2017,4141319948,2160256,1917,460,NA
"san bernardino",2017,4141319948,2160256,1917,40,NA
"san bernardino",2017,4141319948,2160256,1917,20,NA
"san bernardino",2017,4141319948,2160256,1917,260,NA
"san bernardino",2017,4141319948,2160256,1917,325,NA
"san bernardino",2017,4141319948,2160256,1917,13,NA
"san bernardino",2017,4141319948,2160256,1917,34,NA
"san bernardino",2017,4141319948,2160256,1917,150,NA
"san bernardino",2017,4141319948,2160256,1917,100,NA
"san bernardino",2017,4141319948,2160256,1917,85,NA
"san bernardino",2017,4141319948,2160256,1917,99,NA
"san bernardino",2018,4394560180,2174938,2021,53,NA
"san bernardino",2018,4394560180,2174938,2021,33,NA
"san bernardino",2018,4394560180,2174938,2021,147,NA
"san bernardino",2018,4394560180,2174938,2021,100,NA
"san bernardino",2018,4394560180,2174938,2021,1350,NA
"san bernardino",2018,4394560180,2174938,2021,12,NA
"san bernardino",2018,4394560180,2174938,2021,125,NA
"san bernardino",2019,5123350918,2192203,2337,81,NA
"san bernardino",2019,5123350918,2192203,2337,15,NA
"san bernardino",2019,5123350918,2192203,2337,11,NA
"san bernardino",2019,5123350918,2192203,2337,145,NA
"san bernardino",2019,5123350918,2192203,2337,200,NA
"san bernardino",2019,5123350918,2192203,2337,156,NA
"san bernardino",2019,5123350918,2192203,2337,26,NA
"san diego",2013,3726020023,3150178,1183,100,NA
"san diego",2013,3726020023,3150178,1183,1271,NA
"san diego",2013,3726020023,3150178,1183,40,NA
"san diego",2013,3726020023,3150178,1183,2781,NA
"san diego",2013,3726020023,3150178,1183,2236,NA
"san diego",2013,3726020023,3150178,1183,25,NA
"san diego",2013,3726020023,3150178,1183,7055,149
"san diego",2013,3726020023,3150178,1183,263,NA
"san diego",2014,4051682174,3194362,1268,20,NA
"san diego",2014,4051682174,3194362,1268,600,NA
"san diego",2014,4051682174,3194362,1268,217,3
"san diego",2014,4051682174,3194362,1268,14416,NA
"san diego",2014,4051682174,3194362,1268,56,NA
"san diego",2014,4051682174,3194362,1268,380,NA
"san diego",2014,4051682174,3194362,1268,5367,NA
"san diego",2014,4051682174,3194362,1268,105,NA
"san diego",2014,4051682174,3194362,1268,125,NA
"san diego",2014,4051682174,3194362,1268,1995,40
"san diego",2014,4051682174,3194362,1268,29,NA
"san diego",2014,4051682174,3194362,1268,1457,NA
"san diego",2014,4051682174,3194362,1268,1548,NA
"san diego",2015,3961432413,3227496,1227,80,NA
"san diego",2015,3961432413,3227496,1227,1850,NA
"san diego",2015,3961432413,3227496,1227,55,NA
"san diego",2015,3961432413,3227496,1227,25,NA
"san diego",2015,3961432413,3227496,1227,25,NA
"san diego",2015,3961432413,3227496,1227,171,NA
"san diego",2015,3961432413,3227496,1227,167,NA
"san diego",2016,4055061156,3288612,1233,7609,16
"san diego",2016,4055061156,3288612,1233,35,NA
"san diego",2016,4055061156,3288612,1233,70,7
"san diego",2016,4055061156,3288612,1233,100,NA
"san diego",2016,4055061156,3288612,1233,1245,NA
"san diego",2016,4055061156,3288612,1233,28,NA
"san diego",2016,4055061156,3288612,1233,28,NA
"san diego",2017,4389789349,3316192,1324,2056,NA
"san diego",2017,4389789349,3316192,1324,12,NA
"san diego",2017,4389789349,3316192,1324,1088,NA
"san diego",2017,4389789349,3316192,1324,81,NA
"san diego",2017,4389789349,3316192,1324,130,NA
"san diego",2017,4389789349,3316192,1324,200,NA
"san diego",2017,4389789349,3316192,1324,0,NA
"san diego",2017,4389789349,3316192,1324,25,NA
"san diego",2017,4389789349,3316192,1324,1000,NA
"san diego",2017,4389789349,3316192,1324,50,NA
"san diego",2017,4389789349,3316192,1324,100,NA
"san diego",2017,4389789349,3316192,1324,36,NA
"san diego",2017,4389789349,3316192,1324,25,NA
"san diego",2017,4389789349,3316192,1324,486,NA
"san diego",2017,4389789349,3316192,1324,25,NA
"san diego",2017,4389789349,3316192,1324,4100,157
"san diego",2017,4389789349,3316192,1324,400,NA
"san diego",2017,4389789349,3316192,1324,25,NA
"san diego",2017,4389789349,3316192,1324,62,NA
"san diego",2017,4389789349,3316192,1324,255,NA
"san diego",2018,4872062011,3337456,1460,13,0
"san diego",2018,4872062011,3337456,1460,504,48
"san diego",2018,4872062011,3337456,1460,28,NA
"san diego",2018,4872062011,3337456,1460,365,NA
"san diego",2018,4872062011,3337456,1460,10,NA
"san diego",2018,4872062011,3337456,1460,12,NA
"san diego",2018,4872062011,3337456,1460,14,NA
